datetime_sk,sales_day,sales_hour,sales_hour_category
1/1/2024,Monday,0,NightOwls
1/1/2024,Monday,0,NightOwls
1/1/2024,Monday,0,NightOwls
1/1/2024,Monday,0,NightOwls
1/1/2024,Monday,0,NightOwls
1/1/2024,Monday,0,NightOwls
1/1/2024,Monday,0,NightOwls
1/1/2024,Monday,0,NightOwls
1/1/2024,Monday,0,NightOwls
1/1/2024,Monday,0,NightOwls
1/1/2024,Monday,0,NightOwls
1/1/2024,Monday,0,NightOwls
1/1/2024,Monday,0,NightOwls
1/1/2024,Monday,1,NightOwls
1/1/2024,Monday,1,NightOwls
1/1/2024,Monday,1,NightOwls
1/1/2024,Monday,1,NightOwls
1/1/2024,Monday,1,NightOwls
1/1/2024,Monday,1,NightOwls
1/1/2024,Monday,1,NightOwls
1/1/2024,Monday,1,NightOwls
1/1/2024,Monday,1,NightOwls
1/1/2024,Monday,1,NightOwls
1/1/2024,Monday,1,NightOwls
1/1/2024,Monday,1,NightOwls
1/1/2024,Monday,1,NightOwls
1/1/2024,Monday,1,NightOwls
1/1/2024,Monday,1,NightOwls
1/1/2024,Monday,1,NightOwls
1/1/2024,Monday,2,NightOwls
1/1/2024,Monday,2,NightOwls
1/1/2024,Monday,2,NightOwls
1/1/2024,Monday,2,NightOwls
1/1/2024,Monday,2,NightOwls
1/1/2024,Monday,2,NightOwls
1/1/2024,Monday,3,NightOwls
1/1/2024,Monday,3,NightOwls
1/1/2024,Monday,3,NightOwls
1/1/2024,Monday,3,NightOwls
1/1/2024,Monday,3,NightOwls
1/1/2024,Monday,3,NightOwls
1/1/2024,Monday,3,NightOwls
1/1/2024,Monday,3,NightOwls
1/1/2024,Monday,3,NightOwls
1/1/2024,Monday,3,NightOwls
1/1/2024,Monday,3,NightOwls
1/1/2024,Monday,3,NightOwls
1/1/2024,Monday,4,NightOwls
1/1/2024,Monday,4,NightOwls
1/1/2024,Monday,4,NightOwls
1/1/2024,Monday,4,NightOwls
1/1/2024,Monday,4,NightOwls
1/1/2024,Monday,4,NightOwls
1/1/2024,Monday,4,NightOwls
1/1/2024,Monday,4,NightOwls
1/1/2024,Monday,4,NightOwls
1/1/2024,Monday,4,NightOwls
1/1/2024,Monday,4,NightOwls
1/1/2024,Monday,5,NightOwls
1/1/2024,Monday,5,NightOwls
1/1/2024,Monday,5,NightOwls
1/1/2024,Monday,5,NightOwls
1/1/2024,Monday,5,NightOwls
1/1/2024,Monday,5,NightOwls
1/1/2024,Monday,5,NightOwls
1/1/2024,Monday,5,NightOwls
1/1/2024,Monday,5,NightOwls
1/1/2024,Monday,5,NightOwls
1/1/2024,Monday,5,NightOwls
1/1/2024,Monday,5,NightOwls
1/1/2024,Monday,5,NightOwls
1/1/2024,Monday,5,NightOwls
1/1/2024,Monday,5,NightOwls
1/1/2024,Monday,5,NightOwls
1/1/2024,Monday,6,NightOwls
1/1/2024,Monday,6,NightOwls
1/1/2024,Monday,6,NightOwls
1/1/2024,Monday,6,NightOwls
1/1/2024,Monday,6,NightOwls
1/1/2024,Monday,6,NightOwls
1/1/2024,Monday,6,NightOwls
1/1/2024,Monday,6,NightOwls
1/1/2024,Monday,6,NightOwls
1/1/2024,Monday,6,NightOwls
1/1/2024,Monday,7,EarlyBird
1/1/2024,Monday,7,EarlyBird
1/1/2024,Monday,7,EarlyBird
1/1/2024,Monday,7,EarlyBird
1/1/2024,Monday,7,EarlyBird
1/1/2024,Monday,7,EarlyBird
1/1/2024,Monday,7,EarlyBird
1/1/2024,Monday,7,EarlyBird
1/1/2024,Monday,7,EarlyBird
1/1/2024,Monday,7,EarlyBird
1/1/2024,Monday,7,EarlyBird
1/1/2024,Monday,8,EarlyBird
1/1/2024,Monday,8,EarlyBird
1/1/2024,Monday,8,EarlyBird
1/1/2024,Monday,8,EarlyBird
1/1/2024,Monday,8,EarlyBird
1/1/2024,Monday,8,EarlyBird
1/1/2024,Monday,8,EarlyBird
1/1/2024,Monday,8,EarlyBird
1/1/2024,Monday,8,EarlyBird
1/1/2024,Monday,8,EarlyBird
1/1/2024,Monday,8,EarlyBird
1/1/2024,Monday,8,EarlyBird
1/1/2024,Monday,8,EarlyBird
1/1/2024,Monday,8,EarlyBird
1/1/2024,Monday,8,EarlyBird
1/1/2024,Monday,8,EarlyBird
1/1/2024,Monday,8,EarlyBird
1/1/2024,Monday,9,EarlyBird
1/1/2024,Monday,9,EarlyBird
1/1/2024,Monday,9,EarlyBird
1/1/2024,Monday,9,EarlyBird
1/1/2024,Monday,9,EarlyBird
1/1/2024,Monday,9,EarlyBird
1/1/2024,Monday,9,EarlyBird
1/1/2024,Monday,9,EarlyBird
1/1/2024,Monday,9,EarlyBird
1/1/2024,Monday,9,EarlyBird
1/1/2024,Monday,9,EarlyBird
1/1/2024,Monday,9,EarlyBird
1/1/2024,Monday,10,EarlyBird
1/1/2024,Monday,10,EarlyBird
1/1/2024,Monday,10,EarlyBird
1/1/2024,Monday,10,EarlyBird
1/1/2024,Monday,10,EarlyBird
1/1/2024,Monday,10,EarlyBird
1/1/2024,Monday,10,EarlyBird
1/1/2024,Monday,10,EarlyBird
1/1/2024,Monday,10,EarlyBird
1/1/2024,Monday,10,EarlyBird
1/1/2024,Monday,10,EarlyBird
1/1/2024,Monday,11,EarlyBird
1/1/2024,Monday,11,EarlyBird
1/1/2024,Monday,11,EarlyBird
1/1/2024,Monday,11,EarlyBird
1/1/2024,Monday,11,EarlyBird
1/1/2024,Monday,11,EarlyBird
1/1/2024,Monday,11,EarlyBird
1/1/2024,Monday,11,EarlyBird
1/1/2024,Monday,11,EarlyBird
1/1/2024,Monday,11,EarlyBird
1/1/2024,Monday,11,EarlyBird
1/1/2024,Monday,12,EarlyBird
1/1/2024,Monday,12,EarlyBird
1/1/2024,Monday,12,EarlyBird
1/1/2024,Monday,12,EarlyBird
1/1/2024,Monday,12,EarlyBird
1/1/2024,Monday,12,EarlyBird
1/1/2024,Monday,12,EarlyBird
1/1/2024,Monday,12,EarlyBird
1/1/2024,Monday,12,EarlyBird
1/1/2024,Monday,12,EarlyBird
1/1/2024,Monday,12,EarlyBird
1/1/2024,Monday,13,DayPerson
1/1/2024,Monday,13,DayPerson
1/1/2024,Monday,13,DayPerson
1/1/2024,Monday,13,DayPerson
1/1/2024,Monday,13,DayPerson
1/1/2024,Monday,13,DayPerson
1/1/2024,Monday,13,DayPerson
1/1/2024,Monday,13,DayPerson
1/1/2024,Monday,13,DayPerson
1/1/2024,Monday,13,DayPerson
1/1/2024,Monday,13,DayPerson
1/1/2024,Monday,14,DayPerson
1/1/2024,Monday,14,DayPerson
1/1/2024,Monday,14,DayPerson
1/1/2024,Monday,14,DayPerson
1/1/2024,Monday,14,DayPerson
1/1/2024,Monday,14,DayPerson
1/1/2024,Monday,14,DayPerson
1/1/2024,Monday,14,DayPerson
1/1/2024,Monday,14,DayPerson
1/1/2024,Monday,14,DayPerson
1/1/2024,Monday,14,DayPerson
1/1/2024,Monday,15,DayPerson
1/1/2024,Monday,15,DayPerson
1/1/2024,Monday,15,DayPerson
1/1/2024,Monday,15,DayPerson
1/1/2024,Monday,15,DayPerson
1/1/2024,Monday,15,DayPerson
1/1/2024,Monday,15,DayPerson
1/1/2024,Monday,15,DayPerson
1/1/2024,Monday,15,DayPerson
1/1/2024,Monday,15,DayPerson
1/1/2024,Monday,15,DayPerson
1/1/2024,Monday,15,DayPerson
1/1/2024,Monday,15,DayPerson
1/1/2024,Monday,15,DayPerson
1/1/2024,Monday,15,DayPerson
1/1/2024,Monday,16,DayPerson
1/1/2024,Monday,16,DayPerson
1/1/2024,Monday,16,DayPerson
1/1/2024,Monday,16,DayPerson
1/1/2024,Monday,16,DayPerson
1/1/2024,Monday,16,DayPerson
1/1/2024,Monday,16,DayPerson
1/1/2024,Monday,16,DayPerson
1/1/2024,Monday,16,DayPerson
1/1/2024,Monday,16,DayPerson
1/1/2024,Monday,17,DayPerson
1/1/2024,Monday,17,DayPerson
1/1/2024,Monday,17,DayPerson
1/1/2024,Monday,17,DayPerson
1/1/2024,Monday,18,DayPerson
1/1/2024,Monday,18,DayPerson
1/1/2024,Monday,18,DayPerson
1/1/2024,Monday,18,DayPerson
1/1/2024,Monday,18,DayPerson
