sales_sk,datetime_sk,customer_sk,product_sk,store_sk,quantity,total_amount,,,,,,,,
1,1/1/2024,14712,28,6,3,14.4,,,,,,,,
2,1/1/2024,11192,5,8,5,20,,,,,,,,
3,1/1/2024,3981,15,8,1,3,,,,,,,,
4,1/1/2024,1293,7,37,3,12,,,,,,,,
5,1/1/2024,3090,23,11,2,8,,,,,,,,
6,1/1/2024,3959,4,36,2,9,,,,,,,,
7,1/1/2024,7067,27,2,3,13.5,,,,,,,,
8,1/1/2024,5803,23,10,1,4,,,,,,,,
9,1/1/2024,13675,18,10,4,14,,,,,,,,
10,1/1/2024,10090,18,2,2,7,,,,,,,,
11,1/1/2024,2258,27,23,2,9,,,,,,,,
12,1/1/2024,10496,14,36,1,3,,,,,,,,
13,1/1/2024,4533,1,23,2,6,,,,,,,,
14,1/1/2024,12041,13,35,3,16.5,,,,,,,,
15,1/1/2024,8294,8,23,2,9,,,,,,,,
16,1/1/2024,8465,4,2,4,18,,,,,,,,
17,1/1/2024,5897,4,40,1,4.5,,,,,,,,
18,1/1/2024,12098,4,14,2,9,,,,,,,,
19,1/1/2024,11831,22,7,2,8,,,,,,,,
20,1/1/2024,4388,6,12,3,15,,,,,,,,
21,1/1/2024,5123,16,12,5,16,,,,,,,,
22,1/1/2024,1023,1,23,2,6,,,,,,,,
23,1/1/2024,7046,20,8,1,3.5,,,,,,,,
24,1/1/2024,14391,16,13,5,16,,,,,,,,
25,1/1/2024,1953,3,28,1,4,,,,,,,,
26,1/1/2024,7476,16,31,2,6.4,,,,,,,,
27,1/1/2024,5806,29,32,1,4.8,,,,,,,,
28,1/1/2024,2012,14,19,2,6,,,,,,,,
29,1/1/2024,7007,19,20,4,20,,,,,,,,
30,1/1/2024,4006,18,36,1,3.5,,,,,,,,
31,1/1/2024,10075,19,19,1,5,,,,,,,,
32,1/1/2024,3664,27,27,2,9,,,,,,,,
33,1/1/2024,14613,28,24,2,9.6,,,,,,,,
34,1/1/2024,8404,22,6,1,4,,,,,,,,
35,1/1/2024,4598,22,21,2,8,,,,,,,,
36,1/1/2024,8,21,33,1,3.5,,,,,,,,
37,1/1/2024,3702,13,36,3,16.5,,,,,,,,
38,1/1/2024,11207,10,20,5,32.5,,,,,,,,
39,1/1/2024,3712,13,29,5,27.5,,,,,,,,
40,1/1/2024,8459,23,14,2,8,,,,,,,,
41,1/1/2024,10782,20,17,1,3.5,,,,,,,,
42,1/1/2024,13175,24,11,1,4.2,,,,,,,,
43,1/1/2024,439,5,36,2,8,,,,,,,,
44,1/1/2024,1177,9,15,2,11,,,,,,,,
45,1/1/2024,11403,10,21,1,6.5,,,,,,,,
46,1/1/2024,5831,20,11,4,14,,,,,,,,
47,1/1/2024,13562,9,2,4,22,,,,,,,,
48,1/1/2024,9764,7,32,1,4,,,,,,,,
49,1/1/2024,5452,12,1,3,15,,,,,,,,
